ID;AUTORIA;"ORIGEM
(opcional)";CONSULTA PORTAL DA TRANSPARÊNCIA;"CATEGORIA
(opcional)";PONTOS DE ATENÇÃO;SUGESTÕES/BOAS PRÁTICAS;OBSERVAÇÕES;"IMPACTO NO USUÁRIO
(1- Baixo; 2- Médio; 3- Alto)";VIABILIDADE (sim/não);"ESFORÇO (1-Baixo; 2-Médio; 3- Alto)";PRIORIDADE (baixa/alta)
174;TESTE 3;"Compras e Contratos -Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";PESQUISA AVANÇADA;TIPOGRAFIA;Não achou intuitivo que deveria clicar no numero do contrato para exibir mais informações;;"Gabriel:Relato quando o resultado da pesquisa básica foi exibido. melhorar a pesquisa, como critério adotado acima acho importante
Silviana: Identificar que é possível o usuário clicar no ícone para exibir mais detalhes";médio;sim;alto;alta
175;TESTE 3;"Compras e Contratos -Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";PESQUISA AVANÇADA;PARTIÇÃO DO ANO;Achou ruim ter que selecionar o ano para encontrar o que procurava;;Silviana: Localizar a informação independente do ano;médio;verificar;alto;alta
176;TESTE 3;"Compras e Contratos: Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";FORMULÁRIO DE DETALHAMENTO;TIPOGRAFIA;Dificuldade em dentificar o local para clicar no link para fazer o download do contrato não é claro;;;médio;sim;alto;alta
177;TESTE 3;Convênios: Encontre no Portal o convênio 9210853 firmado em 2019 com o INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE;PESQUISA AVANÇADA;FILTROS;"A quantidade de campos com o número do convênio confunde o usuário.
(Número convênio / SIAFI e Número convênio /SIGCON ";;Melhorar a descrição dos campos e ou incluir o glossário, como sugerido acima. E definir uma hierarquia para os filtros mais utilizados;baixo;sim;alto;alta
178;TESTE 3;Convênios: Encontre no Portal o convênio 9210853 firmado em 2019 com o INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE;PESQUISA AVANÇADA;PARTIÇÃO DO ANO;Não achou bom a opção de ter que selecionar o ano para encontrar a informação.;Poder procurar a informação em todos os anos de uma só vez;Silviana: Possibilitar que o usuário encontre a informação independente do ano selecinado. Ex. Nº do contrato / Nº do Convênio e etc;médio;verificar;alto;alta
179;TESTE 3;;MANUAL DO USUÁRIO;ORGANIZAR DADOS;Não leria tudo dentro do manual de navegação, daria um CTRL F e digitaria o que procura. Considera esse tipo de leitura cansativa;;;1;SIM;3;BAIXA
180;TESTE 3;;PESQUISA AVANÇADA;USABILIDADE;Usuária teve dificuldade em gerar os dados, pois não sabia que deveria clicar em 'exibir' para o Portal apresentar a informação que desejada;Alternativa para quem não tem conhecimento, talvez mudança na parte de pesquisa avançada, melhorar a busca pois o retorno foi difícil.;Silviana: Melhorar a forma que usuário seleciona os dados. Como default deveria vir todos marcados.;médio;sim;alto;alta
181;TESTE 4;;MENU;MENU INTERNO;Usuário teve dificuldade de ler as opções do menu e sugeriu que fosse um menu aberto e abaixo do título da página;Alterar layout de menu;melhorar o layout do site, importante, mas não trará melhoria significativa nas consultas e nas buscas;baixo;sim;1;alto
182;TESTE 4;;PÁGINA INICIAL;ORGANIZAR DADOS;Usuário achou que a barra referente ao formulário era um cookie e queria ter a opção de fechar;;Não se aplica;;;;
183;TESTE 4;;PÁGINA INICIAL;LAYOUT;Usuário achou que estava tudo muito vermelho e o contraste com a letra branca dificultava a leitura das informações.;;;Alto;sim;Alto;Alto
184;TESTE 4;Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2021;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;Falta de informações que identiquei em qual nível o servidor está na carreira, pois identicou servidores a mesma carreira com diversas remunerações distintas;Verificar possibilidade de inserir mais informações na planilha html;vide ID 70;alto;sim;2;alta
185;TESTE 4;Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2022;PESSOAL;INCLUSÃO DE INFORMAÇÕES;Usuário sentiu falta de uma outra consulta que desse acesso rápido a lista de servidores de uma determina carreira, sem informar a remuneração.;Incluir na parte de pessoal alguma opção relacionada a carreira ( lista de servdiores pra cada carreira, legislação de referencia, cargo, número de servidores independente se o servidor recebeu pagamento ou não.;A tarefa foi concluída por meio do campo busca do portal;médio;sim;1;baixa
186;TESTE 4;"Despesa: Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";PESQUISA AVANÇADA;INCLUSÃO DE CAMPOS;Planilha html não tem linha com total dos valores;Inserir uma linha com o total na planilha, somando o valor dos dados apresentados e também a data se for possível;"Silviana: Acrescentar o somatório na pesquisa avançada e acrescentar a data/ano no resultado.
- Colunas redimensionáveis; Paginação na parte superior";médio;sim;alto;alto
187;TESTE 4;"Despesa: Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";PESQUISA AVANÇADA;USABILIDADE;"Usuário teve dificuldade de encontrar o botão de pesquisa avançada. Os botões ""pesquisa"" e ""pesquisa avançada"" estão muito perto e com a mesma fonte.";Alterar o layout do botão para diferenciar ou deixar a opção de busca avançada como uma extensão da pesquisa básica ( criar uma caixa que se expande ao clicar com as opções da busca avançada).;Diferenciar os tipos de botão;alto;sim;alto;alta
188;TESTE 4;"Despesa: Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";CONTEÚDO ESTÁTICO;INCLUSÃO DE INFORMAÇÕES;"Usuário sentiu falta da página com informações introdutórias no item ""despesa"".";Usuário sentiu falta de um texto artigo, assim como ocorre na consulta de compras e contratos. Facilita o entendimento;Incluir informações/ artigo em todas as consultas;baixo;sim;médio;alta
189;TESTE 4;;PÁGINA INICIAL;LAYOUT;Dificuldade de entender os ícones que ficam ao final da página. Difícil de enxergar e de entender pra que servem ( ligue minas, ouvidoria, etc).;Inserir um tooltip explicando o que são cada um deles e aumentar o tamanho do ícone;;médio;SIM;alto;BAIXA
190;TESTE 4;;DADOS ABERTOS;DADOS ABERTOS;Usuário achou estranhou ‘dados  abertos’ ser uma categoria, pois a princípio todos os dados deveriam ser abertos;"Substituir o nome do menu ""dados abertos"" por ""repositorio de dados"" ou ""conjunto de dados""";;;;;
191;TESTE 4;Patrimônio:Localize no Portal da Transparência a lista de bens por tipo de proprietário (Terceiros ) do Estado de Minas Gerais;PESQUISA AVANÇADA;FILTROS;"Usuário sentiu falta de ter a opção de acrescentar mais informaões na pesquisa ( opção ""exibir"") básica";Marcações da pesquisa avançada (controle do que se mostra na tabela) poderia estar disponível na pesquisa básica, ou talvez a possibilidade de adição de colunas;Usuário relatou que gostaria de acrescentar mais filtros na pesquisa básica. Que ela não fosse estática.;3;sim;alto;alta
192;TESTE 4;Convênios: Encontre no Portal o convênio 9210853 firmado em 2019 com o INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE;PESQUISA AVANÇADA;CONCEITO;Os tooltips da tabela html só trazem a informação quando o mouse está em cima da interrogação;Aumentar a área de acionamento do tooltip para todo o espaço do cabeçalho;;alto;;alto;
193;TESTE 4;Teste de usabilidade;GERAL;SEGURANÇA;"Chave indica que não está em https, mas só em http;";Realizar essa alteração para aumentar a segurança do site, gratuito, configurável no servidor;;Médio;Sim;;Alto
194;TESTE 4;;DADOS ABERTOS;DADOS ABERTOS;;Sugestão = colocar sistemas monitorando os sites para verificar se tem problema (p. ex. ‘uptime’), ao clicar numa pesquisa do CKAN = http://dados.mg.gov.br/dataset?q=;;;;;
195;TESTE 4;;PÁGINA INICIAL;TIPOGRAFIA;Usuário achou confusa a parte de notícias, letras muito pequenas e sem destaque para a parte clicável ( link);Reorganizar a parte de notícias, melhoras a exibição dos links;;Alto;sim;Alto;Alto
196;TESTE 4;"Despesa: Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";CONTEÚDO ESTÁTICO;INCLUSÃO DE INFORMAÇÕES;"Procurou a informação na pesquisa básica. Selecionou a opção ""despesa"" e leu o tooltip, leu as descrições de cara me parece vazio, entrou em despesa.  Ficou perdido, tentou selecionar no filtro a opção ""todos"" pra ver se encontrava alguma coisa ( ""Eu sinto que estou no lugar certo, mas eu não tô""). Deposi de um tempo foi em pesquisa avançada";melhorar a descrição de cada módulo para facilitar o entendimento;;baixo;sim;alto;alta
197;TESTE 4;patrimonio:Localize no Portal da Transparência a lista de bens por tipo de proprietário (Terceiros ) do Estado de Minas Gerais;TUTORIAL;INCLUIR INFORMAÇÕES;Ficou na dúvida se ao baixar o csv ele teria acesso a mais informações ou seria uma lista similar a que aparece na página.;;Comentário relacionado a pesquisa básica;3;SIM;2;ALTA
198;TESTE 5;Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2023;PESSOAL;INCLUSÃO DE INFORMAÇÕES;"Não achou intuitivo encontrar essa informação na opção de ""remuneração"".
";Criar uma outra opção no menu de acesso;;baixo;sim;1;baixa
199;TESTE 5;"Obter a lista dos servidores expulsos do Serviço Público Estadual.
";PESSOAL;ORGANIZAR DADOS;Informações sobre legislação de carreiras e tabelas de vencimentos ficam escondidas dentro dessa página;"Criar uma nova opção ""Carreiras""dentro do menu de acesso rápido";;1;sim;1;baixa
200;TESTE 5;"Despesa: Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";PESQUISA AVANÇADA;FERRAMENTA DE BUSCA;Sentiu falta de um campo livre dentro da pesquisa básica e  avançada onde pudesse digitar algo que estava procurando.;;Como o usuário não sabia que 'locação de veículos' é um item de despesa teve que digitar em todos os campos . Falta de uma melhor explicação;baixo;verificar;alto;alta
201;TESTE 5;"Obter a lista dos servidores expulsos do Serviço Público Estadual.
";PESSOAL;INCLUSÃO DE INFORMAÇÕES;Teve dificuldade de encontrar a informação;Inserir no Portal a lista de todos os servidores por carreira. Indepedente da remuneração;Muitos participantes tiveram a mesma dificuldade;Alto;Sim;Alto;Alto
202;TESTE 5;Teste de usabilidade;PÁGINA INICIAL;LAYOUT;Não gostou do fundo vermelho;;;Alto;Sim;Alto;Alto
203;TESTE 5;Teste de usabilidade;PÁGINA INICIAL;LAYOUT;Fundo vermelho incomoda;;;Alto;Sim;Alto;Alto
204;TESTE 6;"Compras e Contratos: Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";PÁGINA INICIAL;FERRAMENTA DE BUSCA;Usuário digitou o número do contrato na ferramenta de busca principal da página inicial e não encontrou nenhum resultado;;Silviana: Melhorar a pesquisa no campo busca da página inicial;;;;
205;TESTE 6;Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2021;REMUNERAÇÃO;LAYOUT;Os filtros da busca não são intuitivos e limitam a busca (não é possivel aplicar mais de um filtro ao mesmo tempo).;;Usuário relatou que caso queira selecionar mais de uma carreira não é possível por meio do filtros;alto;sim;3;alta
206;TESTE 6;"Despesa: Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";PESQUISA AVANÇADA;FERRAMENTA DE BUSCA;Sentiu falta de um campo livre dentro da pesquisa básica e  avançada onde pudesse digitar algo que estava procurando.;Ao colocar alguma informação nos campos a mesma já deveria ser exibida no resultado sem a necessidade de marcar o checkbox.;melhorar o entendimento e a busca;baixo;verificar;1;alta
207;TESTE 6;"Despesa: Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";PESQUISA AVANÇADA;USABILIDADE;Procurou a informação na pesquisa básica.;Deveria ter essa informação na primeira página para busca;Silviana: Destacar o botão da pesquisa avançada;alto;sim;alto;alta
208;TESTE 6;Localize no Portal da Transparência a lista de bens por tipo de proprietário (Terceiros ) do Estado de Minas Gerais;PESQUISA AVANÇADA;LENTIDÃO DO SITE;Quando muitas opções são seleicionada a busca fica lenta;;processamento? é comprovado que a demora para carregar páginas faz o usuário desistir;alto;verificar;3;alto
209;TESTE 6;Convênios:Encontre no Portal o convênio 9210853 firmado em 2019 com o INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE;PESQUISA AVANÇADA;TIPOGRAFIA;Não achou intuitivo ter que clicar no número convênio para obter mais informações;;melhorar os filtros;3;sim;3;alto
210;TESTE 6;Teste de usabilidade;PÁGINA INICIAL;LAYOUT;A cor do portal da transparência é um vermelho muito chamativo que pode cansar as pessoas que navegam por muito tempo no site.;;;Alto;Sim;Alto;Alto
211;TESTE 6;;DESPESA;INCLUSÃO DE INFORMAÇÕES;;Poderia ter informações sobre as transferências para os caixas escolares.;;;;;
212;TESTE 6;Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2022;REMUNERAÇÃO;INCLUSÃO DE INFORMAÇÕES;A consulta no site está dando resultado diferente da consulta na despesa de pessoal;Ajustar pra que as duas pesquisas levem ao mesmo resultado;(provavelmente a diferença é pelos inativos);Alto;sim;3;alta
213;TESTE 7;Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021.;PESQUISA BÁSICA;USABILIDADE;"Houve dificuldade em encontrar o local da filtragem de ano.
O filtro de mÊs e dia específica está disassociado do filtro de ano
Ao mudar o ano, todos os filtros da busca desaparecem. 
";Destacar o filtro de ano e deixar ele sem o ano preenchido;O fato ocorre apenas na consulta básica;;;;
214;TESTE 7;Patrimônio:Localize no Portal da Transparência a lista de bens por tipo de proprietário (Terceiros ) do Estado de Minas Gerais;PESQUISA AVANÇADA;CONCEITO;Usuário não identificou a diferença entre tipo de proprietário e tipo de responsável;Inserir tooltip com explicação dos termos se possível;;2;sim;alto;alta
215;TESTE 7;Patrimônio:Localize no Portal da Transparência a lista de bens por tipo de proprietário (Terceiros ) do Estado de Minas Gerais;PESQUISA AVANÇADA;CONCEITO;"As informações sobre os conceitos das categorias para o usuário comum poder saber se o patrimônio que está buscando é de propriedade do município, ou se o ente é somente um detentor da posse, ou outras informações sobre a relação jurídica do bem cedido
";;;2;sim;alto;alta
216;TESTE 7;;PÁGINA INICIAL;LAYOUT;Alguns usuário acharam o site muito vermelho o que pode deixar cansativo dependendo do tempo de uso. Além de acharem que o vermelho passa uma ideia de algo urgente, alarmante;Pensar na possibilidade de utilizar cores mais claras;;Alto;SIM;alto;BAIXA
217;TESTE 7;"Despesa:Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";PESQUISA AVANÇADA;USABILIDADE;"Usuário teve dificuldade de encontrar o campo de ""exibir"" informações na busca avançada.";Destacar esse campo ou permitir que o próprio sistema entenda o que precisa ser exibido ( exibir toda informação dos campos que forem preenchidos pelo usuário );Silviana: Melhorar a forma que usuário seleciona os dados. Como default deveria vir todos marcados.;3;sim;1;alto
218;TESTE 7;Teste de usabilidade;PESQUISA AVANÇADA;LAYOUT;Usuário achou que o campo de busca avançada tem muitas categorias, o que pode deixar o usuário confuso;"Verificar a possibilidade de deixar algumas opções ""ocultas"" caso o usuário precise, ele pode expandir";;Alto;sim;Alto;Alto
219;TESTE 7;Teste de usabilidade;EDUCAÇÃO;INCLUSÃO DE INFORMAÇÕES;Usuário sentiu falta de informações sobre as transferências para os caixas escolares.;Verificar a possibilidade de inserir informações sobre a educação;;Alto;verificar;alto;ALTA
220;TESTE 7;;PÁGINA INICIAL;LAYOUT;Usuários não entenderam a forma de organização das informações no menu de acesso rápido;Inserir explicação evidenciando a lógica de organização do menu ( ex: inserir título explicando o significado das linhas vermelha e amarela);melhorar entendimento;baixo;sim;2;alto
221;TESTE 7;;PÁGINA INICIAL;LAYOUT;Usuário entendeu que os itens que estavam abaixo do primeito item de cada coluna estavam contidos dentro deste assunto ( ex: Planejamento, transparência e cidadania fiscal ele achou que estariam dentro de covid 19 );vide linha 56;;baixo;sim;;alto
222;TESTE 7;Teste de usabilidade;CANAIS DE ATENDIMENTO;INCLUSÃO DE INFORMAÇÕES;Usuário sentiu falta de um e-mail de contato ou alguma página área de impresa que direcione para tirar dúvidas dos jornalista ou ajudar com alguma informação;Verificar a possibilidade de incluir essa informação;;Baixo;sim;alto;baixo
223;TESTE 7;Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2021;GERAL;LAYOUT;Usuário teve dificuldade de visualizar a ferramenta de pesquisa na página, pois achou que o gráfico de pizza da página chama mis atenção que a opção de busca;Verificar a possibilidade aumentar o tamanho da ferramenta de pesquisa;;baixo;sim;2;baixa
224;TESTE 7;"Despesa:Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021. 
";PESQUISA AVANÇADA;USABILIDADE;Usuário clicou em pesquisar antes de selecionar a opção exibir;"Não deixar a opção ""não exibir"" como padrão do formulário para não induzir o usuário ao erro. Quando isso acontece ele precisa realizar uma nova busca";Silviana: Melhorar a forma que usuário seleciona os dados. Como default deveria vir todos marcados.;3;sim;3;alto
225;TESTE 7;"Compras e Contratos:Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros
";FORMULÁRIO DE DETALHAMENTO;TIPOGRAFIA;CONCEITO;Inserir um tooltip ou explicação que deixe claro essa informação para o usuário (ex: clique aqui para acessar a cópia integral do contrato).;ALém disso destacar informações principais dentro da cópia de contrato e aumentar o tamanho e sublinhar o link que direciona para o Portal de Compras;3;sim;2;alto
226;TESTE 7;;FISCALIZANDO COM TCE;MUNICÍPIOS;Usuário clicou em municípios e comentou que o direcionamento direto para outra página parece um erro;Inserir uma página com informações, orientações e o direcionamento para a página externa;facilitar o entendimento;médio;sim;1;alto
227;TESTE 7;Teste de usabilidade;COVID;INCLUSÃO DE INFORMAÇÕES;Inserir boletim epidemiologico que está no site da saúde e outras secretarias;Verificar possibilidade de inserir essas informações;O Pdt possui um link para o site da SES;baixo;;alto;BAIXA
228;TESTE 7;Teste de usabilidade;SEGURANÇA;INCLUSÃO DE INFORMAÇÕES;"Inserir informações mais detalhadas sobre segurança pública, numero de homicídio, crime etc
";Verificar possibilidade de inserir essas informações;Silviana: Podemos pensar em colocar alguns dados no Portal de Dados Abertos;médio;verificar;alto;BAIXA
229;TESTE 7;Teste de usabilidade;COMPRAS E CONTRATOS;USABILIDADE;Usuário relatou que o safari não é compatível com o POrtal de compras;;;baixo;;;
230;TESTE 7;Teste de usabilidade;GERAL;SEGURANÇA;Fez a observação do https, em algumas situações as vezes faz com ele não acesse a informação;;;;;;
231;TESTE 7;Convênios:Encontre no Portal a situação e os valores repassados para o convênio 9210853 firmado em 2019 com o  INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE para realização da cogestão de 03 Casas de Semiliberdade, a serem implantadas no município de Belo Horizonte - Minas Gerais.;FORMULÁRIO DE DETALHAMENTO;LAYOUT;;Sugeriu destacar alguma informações na página que traz as informações do Convênio;Formulário de detalhamento;Alto;SIM;Alto;BAIXA
232;TESTE 8;Teste de usabilidade;EDUCAÇÃO;INCLUSÃO DE INFORMAÇÕES;"Usuário sente falta de um link que direcione para assutos da educação  
";Verificar a possibilidade de criar setores e consolidas assuntos por temáticas e perfis diferentes ( ex: cidadão, município, empresas ou educação, saúde, segurança);Teste realizado pelo celular  - Sugestão dada pela usuária;médio;verificar;alto;
233;TESTE 8;Teste de usabilidade;PÁGINA INICIAL;LAYOUT;Usuária detestou o excesso de cor vermelha na página inicial - Segundo a usuária dá a impressão de sangue (algo ruim);;;Alto;sim;Alto;
234;TESTE 8;Teste de usabilidade;PÁGINA INICIAL;LAYOUT;Usuária achou confusa a área de notícias / comunicados;Organizar melhor as notícias  e inserir título organizando casa assunto da página inicial;;médio;sim;alto;
235;TESTE 8;Teste de usabilidade;PÁGINA INICIAL;LAYOUT;Usuária sentiu falta de título nos vídeos;Inserir título nos vídeos da página inicial explicando do que se trata ( ex: tutorial de como navegar pelo site )  - verificar se tem um local melhor para inserção dos vídeos no site;Sugestão usuária;baixo;sim;alto;
236;TESTE 8;Teste de usabilidade;PÁGINA INICIAL;FERRAMENTA DE BUSCA;Usuária digitou SEE na barra de pesquisa da página inicial e não encontrou nenhum informação satisfatória;Verificar o indexador;;;;;
237;TESTE 8;"Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2021
";REMUNERAÇÃO;FILTROS;"O filtro ""consulta""não é a primeira opção da pesquisa";Sugestão do usuário:Colocar  a situação depois do tipo de cargo, porque as pessoas procuram primeiro se o cargo é efetivo ou contrato;;;;;
235;TESTE 8;Despesa :Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021.;PESQUISA AVANÇADA;USABILIDADE;"Usuário não identificou que era necessário preencher o campo ""exibir favorecido"" no formulário";O sistema poderia deixar essa opção como padrão, dessa forma a pesquisa seria exibida mesmo que o usuário não marcasse a opção;;;;;
236;TESTE 8;Despesa :Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021.;PESQUISA AVANÇADA;INCLUSÃO DE CAMPOS;Usuária sentiu falta de encontrar a vigência do contrato como informação de destaque na tabela html;Incluir data da vigência do contrato na tabela html;Silviana: A vigência do contrato encontra-se na consulta de Compras e Contratos no formulário de detalhamento. Interessante seria acrescentar no Portal essa informação na tabela de resultados.;;sim;alto;
237;TESTE 8;Encontre a partir do item de despesa ‘locação de veículos’ os fornecedores que prestam serviços de  locação  para o Estado em 2021.;PESQUISA AVANÇADA;TIPOGRAFIA;Usuária achou muito pequeno o ícone de csv e pdf;"Verificar se é possivel aumentar um pouco o tamanho 
";"Silviana: Acrescentar  a palavra download antes dos símbolos 
Aumentar o tamanho da font";baixo;sim;Alto;
238;TESTE 8;"Convênios : Encontre no Portal a situação e os valores repassados para o convênio 9210853 firmado em 2019 com o  INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE para realização da cogestão de 03 Casas de Semiliberdade, a serem implantadas no município de Belo Horizonte - Minas Gerais.
";FORMULÁRIO DE DETALHAMENTO;INCLUSÃO DE INFORMAÇÕES;Na tabela html não tem o link para acesso ao IOF;"Inserir o link para o diário ver a publicação do convênio
";Silviana: Não localizei esses dados do SIGCON Transacional;;não;;
239;TESTE 8;"Encontre no Portal a situação e os valores repassados para o convênio 9210853 firmado em 2019 com o  INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE para realização da cogestão de 03 Casas de Semiliberdade, a serem implantadas no município de Belo Horizonte - Minas Gerais.
";PESQUISA AVANÇADA;NAVEGABILIDADE;No celular os botões de pesquisa, pesquisa avançada ficaram amontoados;Verificar possibilidade de alteração do acesso à pesquisa avançada;Silviana: Pode ter ocorrido apenas no momento do teste do usuário. Realizei testes posteriores e não identifiquei o problema;não se aplica;não se aplica;não se aplica;não se aplica
240;TESTE 8;Obter a lista dos servidores expulsos do Serviço Público Estadual.;CEAPE;INCLUSÃO DE INFORMAÇÕES;Usuária tinha expectativa de encontrar essa informação dentro de algum link do acesso rápido.;Criar outra opção dentro do menu de acesso rápido;;;;;
241;TESTE 8;;VOO DO GOVERNADOR;BENCHMARKING;"Usuária não entendeu porque os voos do governador ficam dentro de pessoal,
";Acredita que faria mais sentido estar dentro de viagens ( viagens - voos e o do governador estar no início da listagem);;baixo;sim;baixo;
242;TESTE 8;Teste de usabilidade;CANAIS DE ATENDIMENTO;TIPOGRAFIA;Usuária criticou o tamanho da letra e o local onde está disponibilizado telefone e canal fale conosco no rodapé;Dar mais destaque para essas informações no menu superior;;baixo;sim;alto;
243;TESTE 8;Teste de usabilidade;PÁGINA INICIAL;TIPOGRAFIA;Ao acessar a página inicial pelo celular omenu superior não é exibido, a usuária consegue acessar as opções pelo rodapé;Altera o formato do menu superior;;baixo;sim;alto;
244;TESTE 8;;GERAL;FILTROS;"Usuária achou que precisou fornecer muitas informações para o site retornar uma resposta. 
";Gostaria que os campos de busca dessem resposta aproximada para já deduzir algum possível caminho;;;;;
245;TESTE 9;Obter a lista de todos os Servidores da Administração Pública Estadual com Cargo efetivo de Auditor Fiscal da Receita e o salário de algum deles em janeiro 2021;REMUNERAÇÃO;TUTORIAL;Usuário teve dificuldade de indentificar se ao inserir uma data no campo de pesquisa a planilha seria referente a essa mesma data;;;;;;
246;TESTE 9;Encontre no Portal da Transparência por meio da pesquisa avançada a cópia integral do Contrato 9214029, de 2019, cujo objeto é a prestação, pela Localiza Rent A Car S/A, contratação de prestação de serviço de transporte mediante locação de automóveis para transporte de passageiros;COMPRAS E CONTRATOS;TIPOGRAFIA;"Não conseguiu encontrar a copia do contrato não encontrou o hiperlink com facilidade 
";Aumentar tamanho do link e destacar informações de principais;Achou que encontraria o contrato dentro de despesas pq o contrato é uma execução de despesa.;;;;
247;TESTE 9;;PESQUISA AVANÇADA;FILTROS;Não achou intuitiva a finalidade dos campos da busca avançada;Melhorar a pesquisa avançada para que fique mais intuitiva a utilidade de cada campo;;;;;
248;TESTE 9;"Patrimonio: Localize no Portal da Transparência a lista de bens por tipo de proprietário (Terceiros ) do Estado de Minas Gerais
";PESQUISA AVANÇADA;USABILIDADE;Parece não ter entendido que poderia preencher os campos da pesquisa avançada. Achou que o fato de mandar exibir já era o filtro.;Necesário melhoria para ser mais intuitivo;Não fica claro para o usuário o que acontece de fato quando seleciona o botão exibir na pesquisa avançada.;;;;
249;TESTE 9;Encontre no Portal a situação e os valores repassados para o convênio 9210853 firmado em 2019 com o  INSTITUTO JURÍDICO PARA EFETIVAÇÃO DA CIDADANIA E SAÚDE para realização da cogestão de 03 Casas de Semiliberdade, a serem implantadas no município de Belo Horizonte - Minas Gerais.;CONVÊNIO;TUTORIAL;Dificuldade em identificar convênio de saída e entrada para realizar pesquisa.;Averiguar possibilidade de pesquisar convênios (saída e entrada) numa mesma pesquisa, quando o usuário não souber o tipo do convênio a ser pesquisado.;;;;;
250;TESTE 9;Obter a lista dos servidores expulsos do Serviço Público Estadual.;CEAPE;INCLUSÃO DE INFORMAÇÕES;Não é possível encontrar o conteúdo dentro de nenhuma das opções do menu de acesso rápido;Sugeriu inserir o conteúdo nos ícones principais da tela, no menu de acesso rápido;;;;;
251;TESTE 10;Teste de usabilidade;PÁGINA INICIAL;LAYOUT;Usuário não gostou da organização das informações abaixo do menu de acesso rápido;Alterar o layout do conteúdo abaixo (notícias, por exemplo) para a parte lateral. A usuária considera que o acesso a essas informações fica um pouco prejudica por estar mais abaixo;"Usuária já havia acessado o Portal várias vezes e nunca observou que existiam informações abaixo do menu de acesso rápido.
";baixo;sim;alto;
